Name,Address,City,Zipcode,Statea
"County Sheriff Crime Lab","1122 Escobar St","Martinez","94553-1215","CA"
"Kern County Sheriff","1122 Jefferson St","Delano","93215-2241","CA"
"Santa Barbara County Sheriff","1122 Santa Barbara St","Santa Barbara","93101-2008","CA"
"Los Angeles County Sheriff","11234 Valley Blvd # 114","El Monte","91731-3241","CA"
"Napa County Sheriff","1125 3rd St # 1","Napa","94559-3098","CA"
"San Francisco Police Dept","1125 Fillmore St","San Francisco","94115-4711","CA"
"Belle Haven Community Police","1197 Willow Rd","Menlo Park","94025-1616","CA"
"Colma Police Detectives","1198 El Camino Real","Colma","94014-3212","CA"
"Adelanto Police Admin","11613 Bartlett Ave","Adelanto","92301-1920","CA"
"North Hollywood Police Station","11640 Burbank Blvd","North Hollywood","91601-2316","CA"
"Oakland Housing Auth Police","1180 25th Ave","Oakland","94601-1432","CA"
"Monterey County Sheriffs Dept","1200 Aguajito Rd # Oo2","Monterey","93940-4885","CA"
"Police Dept Investigative Svc","1200 F St","Modesto","95354-2416","CA"
"Newman Police Dept","1200 Main St","Newman","95360-1325","CA"
"Police Department UNET","1201 University Ave # 112","Riverside","92507-4506","CA"
"Kern County Sheriff Dept","12022 Main St","Lamont","93241-2836","CA"
"L A County Sheriff Department","11703 Alameda St","Lynwood","90262-4023","CA"
"San Diego Police Jail","1173 Front St","San Diego","92101-3904","CA"
"Ontario Police Dept","1150 W 6th St","Ontario","91762-1110","CA"
"Placer County Sheriff","11500 A Ave","Auburn","95603-2611","CA"
"Los Angeles Sheriff Training","11515 Colima Rd","Whittier","90604-2832","CA"
"Placer County Criminal Dept","11532 B Ave","Auburn","95603-2605","CA"
"National City Police-Invstgtns","1200 National City Blvd","National City","91950-4396","CA"
"Fresno Police Station","1211 Fresno St","Fresno","93706-3218","CA"
"San Diego Police Dept","12125 Alta Carmel Ct","San Diego","92128-3893","CA"
"Auburn Police Dept","1215 Lincoln Way","Auburn","95603-5004","CA"
"Belmont Police Dept","1215 Ralston Ave","Belmont","94002-1902","CA"
"Los Angeles County Sheriff","122 N San Dimas Ave","San Dimas","91773-2646","CA"
"Police Dept","122 Trinity Ave","Chowchilla","93610-2949","CA"
"Lake County Sheriff's Dept","1220 Martin St","Lakeport","95453-9708","CA"
"Banning City Police Dept","125 E Ramsey St","Banning","92220-4839","CA"
"San Diego Police Dept NE Div","13396 Salmon River Rd","San Diego","92129-2640","CA"
"Fresno Police Dept","1343 Bulldog Ln","Fresno","93710-7204","CA"
"San Diego County Sheriffs Dept","1347 Tavern Rd # 2","Alpine","91901-3886","CA"
"San Diego County Sheriff","1347 Tavern Rd","Alpine","91901-3853","CA"
"District Attorney-Criminal Div","135 N D St","Perris","92570-1906","CA"
"Santa Barbara County Sheriff","140 W Highway 246","Buellton","93427-9998","CA"
"Calipatria City Police Dept","140 W Main","Calipatria","92233-0000","CA"
"San Rafael Police Evidence","1400 5th Ave","San Rafael","94901-1943","CA"
"Plumas County Sheriff","1400 E Main St","Quincy","95971-9402","CA"
"Concord Police Dept Adm Div","1350 Galindo St","Concord","94520-2805","CA"
"Sheriff Dept","1350 Norris Rd","Bakersfield","93308-2231","CA"
"Police Dept","1352 Johnson Blvd","South Lake Tahoe","96150-8217","CA"
"Los Angeles County Sheriff","13525 Telegraph Rd","Whittier","90605-3438","CA"
"Los Angeles Police Dept","1358 Wilcox Ave","Los Angeles","90028-8134","CA"
"Police Community Relations","12312 Culver Blvd","Los Angeles","90066-6222","CA"
"Norwalk Sheriff's Dept","12335 Civic Center Dr","Norwalk","90650-3172","CA"
"Calistoga Police Dept","1235 Washington St","Calistoga","94515-1439","CA"
"Alameda County Sheriff Recruit","1401 Lakeside Dr Fl 12","Oakland","94612-4305","CA"
"Sheriff's Ofc Law Enforcement","1401 Lakeside Dr","Oakland","94612-4305","CA"
"Police Activities League","1401 Olympic Blvd","Santa Monica","90404-3823","CA"
"Clearlake Police Dept","14050 Olympic Dr","Clearlake","95422-8801","CA"
"Monterey County Sheriff's Dept","1414 Natividad Rd","Salinas","93906-3102","CA"
"Monterey County Sheriff","1414 Old Natividad Rd","Salinas","93906-0000","CA"
"Monterey County Sheriff","14141 Natizidid","Salinas","93906-0000","CA"
"Madera County Sheriff","14143 Road 28","Madera","93638-5714","CA"
"Kern County Sheriff","1415 Truxtun Ave","Bakersfield","93301-5215","CA"
"Willits Police Dept","125 E Commercial St # 150","Willits","95490-3146","CA"
"Mendocino County Sheriff","125 E Commercial St","Willits","95490-3145","CA"
"San Jose Police Dept","125 E Gish Rd","San Jose","95112-4702","CA"
"Los Angeles Cnty Sheriff-Civil","12720 Norwalk Blvd # 108","Norwalk","90650-3189","CA"
"Los Angeles County Sheriff","1275 N Eastern Ave","Los Angeles","90063-3217","CA"
"Milpitas Police Dept","1275 N Milpitas Blvd","Milpitas","95035-3153","CA"
"Los Angeles Police Dept","12760 Osborne St","Pacoima","91331-3331","CA"
"L A County Sheriffs Auto Bur","1277 N Eastern Ave","Los Angeles","90063-3217","CA"
"Kern County Sheriff's Office","128 E Coso Ave","Ridgecrest","93555-3647","CA"
"Rialto Police Dept","128 N Willow Ave","Rialto","92376-5894","CA"
"Fowler City Police Dept","128 S 5th St","Fowler","93625-2401","CA"
"Kern County Sheriff's Dept","129 E F St","Tehachapi","93561-1710","CA"
"Grass Valley Police Dept","129 S Auburn St","Grass Valley","95945-6501","CA"
"San Bernardino Police Dept","1292 W Mill St","San Bernardino","92410-2500","CA"
"Marin County Sheriff's Office","13 Peter Behr Dr","San Rafael","94903-5216","CA"
"Kern County Crime Lab","1300 18th St","Bakersfield","93301-4537","CA"
"Redwood City Police Dept","1301 Maple St","Redwood City","94063-2766","CA"
"San Diego County Sheriff Dept","13100 Bowron Rd","Poway","92064-5775","CA"
"Redding Police Dept","1313 California St","Redding","96001-0698","CA"
"Police Dept-Crime Prevention","1315 Valley Dr","Hermosa Beach","90254-3846","CA"
